city_of_stop,city_name,city_postal,city_count,city_geo
RCK,Rockingham,05101,1894,"{'place_id': 331059327, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.15165593080169', 'lon': '-72.4647380164557', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05101', 'display_name': 'Rockingham, Windham County, 05101, Vermont, United States', 'boundingbox': ['42.9916559', '43.3116559', '-72.6247380', '-72.3047380']}"
WSN,Williston,05495,1419,"{'place_id': 21524099, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1610005, 'lat': '44.4737365', 'lon': '-73.19414679705882', 'class': 'amenity', 'type': 'university', 'place_rank': 30, 'importance': 0.5003262060064201, 'addresstype': 'amenity', 'name': 'University of Vermont', 'display_name': 'University of Vermont, East Avenue, Burlington, Chittenden County, Vermont, 05404, United States', 'boundingbox': ['44.4656950', '44.4855380', '-73.2034485', '-73.1860314']}"
SBU,SHELBURNE,05482,1105,"{'place_id': 331059420, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.39009210168176', 'lon': '-73.21969987386805', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05482', 'display_name': 'Shelburne, Chittenden County, 05482, Vermont, United States', 'boundingbox': ['44.2300921', '44.5500921', '-73.3796999', '-73.0596999']}"
SWA,Swanton,05488,1065,"{'place_id': 331059425, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.93937105421348', 'lon': '-73.15603204353933', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05488', 'display_name': 'Swanton, Franklin County, 05488, Vermont, United States', 'boundingbox': ['44.7793711', '45.0993711', '-73.3160320', '-72.9960320']}"
BRO,Brattleboro,05302,1059,"{'place_id': 331059358, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.823512', 'lon': '-72.5887939', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05302', 'display_name': 'Guilford, Windham County, 05302, Vermont, United States', 'boundingbox': ['42.6635120', '42.9835120', '-72.7487939', '-72.4287939']}"
GFD,Guilford,05301,1022,"{'place_id': 331059357, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.852966556426736', 'lon': '-72.64709363926735', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05301', 'display_name': 'Brattleboro, Windham County, 05301, Vermont, United States', 'boundingbox': ['42.6929666', '43.0129666', '-72.8070936', '-72.4870936']}"
HRL,Hartland,05048,1004,"{'place_id': 331059295, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.56744724635294', 'lon': '-72.42264945294117', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05048', 'display_name': 'Hartland, Windsor County, 05048, Vermont, United States', 'boundingbox': ['43.4074472', '43.7274472', '-72.5826495', '-72.2626495']}"
DOR,Dorset,05251,994,"{'place_id': 331059348, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.277877779310344', 'lon': '-73.10360543793104', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05251', 'display_name': 'Dorset, Bennington County, 05251, Vermont, United States', 'boundingbox': ['43.1178778', '43.4378778', '-73.2636054', '-72.9436054']}"
BER,Barre,05641,964,"{'place_id': 331059436, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.193033587523885', 'lon': '-72.49412832036684', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05641', 'display_name': 'Barre City, Washington County, 05641, Vermont, United States', 'boundingbox': ['44.0330336', '44.3530336', '-72.6541283', '-72.3341283']}"
HRT,Hartford,05047,959,"{'place_id': 331059294, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.665966825', 'lon': '-72.339098', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05047', 'display_name': 'Hartford, Windsor County, 05047, Vermont, United States', 'boundingbox': ['43.5059668', '43.8259668', '-72.4990980', '-72.1790980']}"
